Revenue,Survey question,Response option,Percent,Question sample size
More than $10 million,Loan/LOC/merchant cash advance products applied for,Business loan,27%,186
More than $10 million,Loan/LOC/merchant cash advance products applied for,Autoequip,24%,186
More than $10 million,Loan/LOC/merchant cash advance products applied for,Mortgage/real estate loan,19%,186
More than $10 million,Loan/LOC/merchant cash advance products applied for,SBA loan,7%,186
More than $10 million,Loan/LOC/merchant cash advance products applied for,Merchant cash advance,3%,186
More than $10 million,Loan/LOC/merchant cash advance products applied for,Home equity loan or line of credit,2%,186
More than $10 million,Loan/LOC/merchant cash advance products applied for,Personal loan,1%,186
More than $10 million,Loan/LOC/merchant cash advance products applied for,Other product,0%,186
"$50,001-$100,000",Loan/LOC/merchant cash advance products applied for,Business loan,33%,212
"$50,001-$100,000",Loan/LOC/merchant cash advance products applied for,SBA loan,27%,212
"$50,001-$100,000",Loan/LOC/merchant cash advance products applied for,Line of credit,24%,212
"$50,001-$100,000",Loan/LOC/merchant cash advance products applied for,Personal loan,17%,212
"$50,001-$100,000",Loan/LOC/merchant cash advance products applied for,Autoequip,12%,212
"$50,001-$100,000",Loan/LOC/merchant cash advance products applied for,Home equity loan or line of credit,8%,212
"$50,001-$100,000",Loan/LOC/merchant cash advance products applied for,Merchant cash advance,4%,212
"$50,001-$100,000",Loan/LOC/merchant cash advance products applied for,Mortgage/real estate loan,3%,212
"$50,001-$100,000",Loan/LOC/merchant cash advance products applied for,Other product,0%,212
"$100,001-$250,000",Loan/LOC/merchant cash advance products applied for,Line of credit,44%,398
"$100,001-$250,000",Loan/LOC/merchant cash advance products applied for,Business loan,36%,398
"$100,001-$250,000",Loan/LOC/merchant cash advance products applied for,SBA loan,24%,398
"$100,001-$250,000",Loan/LOC/merchant cash advance products applied for,Merchant cash advance,16%,398
"$100,001-$250,000",Loan/LOC/merchant cash advance products applied for,Personal loan,7%,398
"$100,001-$250,000",Loan/LOC/merchant cash advance products applied for,Autoequip,7%,398
"$100,001-$250,000",Loan/LOC/merchant cash advance products applied for,Home equity loan or line of credit,5%,398
"$100,001-$250,000",Loan/LOC/merchant cash advance products applied for,Mortgage/real estate loan,3%,398
"$100,001-$250,000",Loan/LOC/merchant cash advance products applied for,Other product,0%,398
"$250,001-$500,000",Loan/LOC/merchant cash advance products applied for,Business loan,36%,458
"$250,001-$500,000",Loan/LOC/merchant cash advance products applied for,Line of credit,32%,458
"$250,001-$500,000",Loan/LOC/merchant cash advance products applied for,SBA loan,17%,458
"$250,001-$500,000",Loan/LOC/merchant cash advance products applied for,Merchant cash advance,11%,458
"$250,001-$500,000",Loan/LOC/merchant cash advance products applied for,Personal loan,10%,458
"$250,001-$500,000",Loan/LOC/merchant cash advance products applied for,Autoequip,10%,458
"$250,001-$500,000",Loan/LOC/merchant cash advance products applied for,Home equity loan or line of credit,9%,458
"$250,001-$500,000",Loan/LOC/merchant cash advance products applied for,Mortgage/real estate loan,8%,458
"$250,001-$500,000",Loan/LOC/merchant cash advance products applied for,Other product,0%,458
"$500,001-$1 million",Loan/LOC/merchant cash advance products applied for,Line of credit,43%,500
"$500,001-$1 million",Loan/LOC/merchant cash advance products applied for,Business loan,31%,500
"$500,001-$1 million",Loan/LOC/merchant cash advance products applied for,SBA loan,17%,500
"$500,001-$1 million",Loan/LOC/merchant cash advance products applied for,Autoequip,13%,500
"$500,001-$1 million",Loan/LOC/merchant cash advance products applied for,Merchant cash advance,12%,500
"$500,001-$1 million",Loan/LOC/merchant cash advance products applied for,Mortgage/real estate loan,6%,500
"$500,001-$1 million",Loan/LOC/merchant cash advance products applied for,Home equity loan or line of credit,4%,500
"$500,001-$1 million",Loan/LOC/merchant cash advance products applied for,Personal loan,4%,500
"$500,001-$1 million",Loan/LOC/merchant cash advance products applied for,Other product,0%,500
$1 million-$5 million,Loan/LOC/merchant cash advance products applied for,Line of credit,45%,722
$1 million-$5 million,Loan/LOC/merchant cash advance products applied for,Business loan,30%,722
$1 million-$5 million,Loan/LOC/merchant cash advance products applied for,SBA loan,16%,722
$1 million-$5 million,Loan/LOC/merchant cash advance products applied for,Autoequip,13%,722
$1 million-$5 million,Loan/LOC/merchant cash advance products applied for,Mortgage/real estate loan,11%,722
$1 million-$5 million,Loan/LOC/merchant cash advance products applied for,Merchant cash advance,9%,722
$1 million-$5 million,Loan/LOC/merchant cash advance products applied for,Home equity loan or line of credit,7%,722
$1 million-$5 million,Loan/LOC/merchant cash advance products applied for,Personal loan,5%,722
$1 million-$5 million,Loan/LOC/merchant cash advance products applied for,Other product,0%,722
"$25,001-$50,000",Loan/LOC/merchant cash advance source applied to,Large bank,40%,98
"$25,001-$50,000",Loan/LOC/merchant cash advance source applied to,Online lender,18%,98
"$25,001-$50,000",Loan/LOC/merchant cash advance source applied to,Other lender,17%,98
"$25,001-$50,000",Loan/LOC/merchant cash advance source applied to,Small bank,17%,98
"$25,001-$50,000",Loan/LOC/merchant cash advance source applied to,Finance company,16%,98
"$25,001-$50,000",Loan/LOC/merchant cash advance source applied to,CDFI,16%,98
"$25,001-$50,000",Loan/LOC/merchant cash advance source applied to,Credit union,11%,98
"$0-$25,000",Loan/LOC/merchant cash advance source applied to,Large bank,40%,126
"$0-$25,000",Loan/LOC/merchant cash advance source applied to,CDFI,22%,126
"$0-$25,000",Loan/LOC/merchant cash advance source applied to,Small bank,19%,126
"$0-$25,000",Loan/LOC/merchant cash advance source applied to,Online lender,16%,126
"$0-$25,000",Loan/LOC/merchant cash advance source applied to,Other lender,16%,126
"$0-$25,000",Loan/LOC/merchant cash advance source applied to,Finance company,11%,126
"$0-$25,000",Loan/LOC/merchant cash advance source applied to,Credit union,11%,126
$5 million-$10 million,Loan/LOC/merchant cash advance source applied to,Large bank,48%,163
$5 million-$10 million,Loan/LOC/merchant cash advance source applied to,Small bank,41%,163
$5 million-$10 million,Loan/LOC/merchant cash advance source applied to,Finance company,14%,163
$5 million-$10 million,Loan/LOC/merchant cash advance source applied to,Online lender,13%,163
$5 million-$10 million,Loan/LOC/merchant cash advance source applied to,Credit union,8%,163
$5 million-$10 million,Loan/LOC/merchant cash advance source applied to,Other lender,1%,163
$5 million-$10 million,Loan/LOC/merchant cash advance source applied to,CDFI,0%,163
More than $10 million,Loan/LOC/merchant cash advance source applied to,Large bank,47%,186
More than $10 million,Loan/LOC/merchant cash advance source applied to,Small bank,47%,186
More than $10 million,Loan/LOC/merchant cash advance source applied to,Finance company,13%,186
More than $10 million,Loan/LOC/merchant cash advance source applied to,Credit union,5%,186
More than $10 million,Loan/LOC/merchant cash advance source applied to,Other lender,5%,186
More than $10 million,Loan/LOC/merchant cash advance source applied to,Online lender,3%,186
More than $10 million,Loan/LOC/merchant cash advance source applied to,CDFI,0%,186
"$50,001-$100,000",Loan/LOC/merchant cash advance source applied to,Small bank,35%,205
"$50,001-$100,000",Loan/LOC/merchant cash advance source applied to,Large bank,35%,205
"$50,001-$100,000",Loan/LOC/merchant cash advance source applied to,Online lender,15%,205
"$50,001-$100,000",Loan/LOC/merchant cash advance source applied to,Credit union,15%,205
"$50,001-$100,000",Loan/LOC/merchant cash advance source applied to,Other lender,10%,205
"$50,001-$100,000",Loan/LOC/merchant cash advance source applied to,CDFI,7%,205
"$50,001-$100,000",Loan/LOC/merchant cash advance source applied to,Finance company,7%,205
"$100,001-$250,000",Loan/LOC/merchant cash advance source applied to,Large bank,36%,391
"$100,001-$250,000",Loan/LOC/merchant cash advance source applied to,Online lender,36%,391
"$100,001-$250,000",Loan/LOC/merchant cash advance source applied to,Small bank,27%,391
"$100,001-$250,000",Loan/LOC/merchant cash advance source applied to,Finance company,14%,391
"$100,001-$250,000",Loan/LOC/merchant cash advance source applied to,CDFI,7%,391
"$100,001-$250,000",Loan/LOC/merchant cash advance source applied to,Credit union,6%,391
"$100,001-$250,000",Loan/LOC/merchant cash advance source applied to,Other lender,4%,391
"$250,001-$500,000",Loan/LOC/merchant cash advance source applied to,Large bank,36%,452
"$250,001-$500,000",Loan/LOC/merchant cash advance source applied to,Online lender,34%,452
"$250,001-$500,000",Loan/LOC/merchant cash advance source applied to,Small bank,20%,452
"$250,001-$500,000",Loan/LOC/merchant cash advance source applied to,Finance company,16%,452
"$250,001-$500,000",Loan/LOC/merchant cash advance source applied to,Credit union,12%,452
"$250,001-$500,000",Loan/LOC/merchant cash advance source applied to,Other lender,8%,452
"$250,001-$500,000",Loan/LOC/merchant cash advance source applied to,CDFI,3%,452
"$500,001-$1 million",Loan/LOC/merchant cash advance source applied to,Large bank,38%,500
"$500,001-$1 million",Loan/LOC/merchant cash advance source applied to,Small bank,30%,500
"$500,001-$1 million",Loan/LOC/merchant cash advance source applied to,Online lender,23%,500
"$500,001-$1 million",Loan/LOC/merchant cash advance source applied to,Finance company,14%,500
"$500,001-$1 million",Loan/LOC/merchant cash advance source applied to,Credit union,10%,500
"$500,001-$1 million",Loan/LOC/merchant cash advance source applied to,Other lender,8%,500
"$500,001-$1 million",Loan/LOC/merchant cash advance source applied to,CDFI,3%,500
$1 million-$5 million,Loan/LOC/merchant cash advance source applied to,Large bank,37%,712
$1 million-$5 million,Loan/LOC/merchant cash advance source applied to,Small bank,33%,712
$1 million-$5 million,Loan/LOC/merchant cash advance source applied to,Online lender,25%,712
$1 million-$5 million,Loan/LOC/merchant cash advance source applied to,Finance company,14%,712
$1 million-$5 million,Loan/LOC/merchant cash advance source applied to,Credit union,8%,712
$1 million-$5 million,Loan/LOC/merchant cash advance source applied to,CDFI,4%,712
$1 million-$5 million,Loan/LOC/merchant cash advance source applied to,Other lender,3%,712
"$25,001-$50,000",Natural disaster-related losses,Did not suffer natural disaster-related losses,87%,267
"$25,001-$50,000",Natural disaster-related losses,Suffered natural disaster-related losses,13%,267
"$0-$25,000",Natural disaster-related losses,Did not suffer natural disaster-related losses,93%,337
"$0-$25,000",Natural disaster-related losses,Suffered natural disaster-related losses,7%,337
$5 million-$10 million,Natural disaster-related losses,Did not suffer natural disaster-related losses,91%,360
$5 million-$10 million,Natural disaster-related losses,Suffered natural disaster-related losses,9%,360
More than $10 million,Natural disaster-related losses,Did not suffer natural disaster-related losses,91%,402
More than $10 million,Natural disaster-related losses,Suffered natural disaster-related losses,9%,402
"$50,001-$100,000",Natural disaster-related losses,Did not suffer natural disaster-related losses,92%,512
"$50,001-$100,000",Natural disaster-related losses,Suffered natural disaster-related losses,8%,512
"$100,001-$250,000",Natural disaster-related losses,Did not suffer natural disaster-related losses,90%,1028
"$100,001-$250,000",Natural disaster-related losses,Suffered natural disaster-related losses,10%,1028
"$250,001-$500,000",Natural disaster-related losses,Did not suffer natural disaster-related losses,91%,1222
"$250,001-$500,000",Natural disaster-related losses,Suffered natural disaster-related losses,9%,1222
"$500,001-$1 million",Natural disaster-related losses,Did not suffer natural disaster-related losses,90%,1297
"$500,001-$1 million",Natural disaster-related losses,Suffered natural disaster-related losses,10%,1297
$1 million-$5 million,Natural disaster-related losses,Did not suffer natural disaster-related losses,91%,1832
$1 million-$5 million,Natural disaster-related losses,Suffered natural disaster-related losses,9%,1832
"$25,001-$50,000",Number of employees,1-4 employees,84%,284
"$25,001-$50,000",Number of employees,5-9 employees,11%,284
"$25,001-$50,000",Number of employees,10-19 employees,3%,284
"$25,001-$50,000",Number of employees,20-49 employees,0%,284
"$25,001-$50,000",Number of employees,50-499 employees,1%,284
"$0-$25,000",Number of employees,1-4 employees,81%,361
"$0-$25,000",Number of employees,5-9 employees,12%,361
"$0-$25,000",Number of employees,10-19 employees,4%,361
"$0-$25,000",Number of employees,20-49 employees,2%,361
"$0-$25,000",Number of employees,50-499 employees,0%,361
$5 million-$10 million,Number of employees,1-4 employees,7%,368
$5 million-$10 million,Number of employees,5-9 employees,7%,368
$5 million-$10 million,Number of employees,10-19 employees,17%,368
$5 million-$10 million,Number of employees,20-49 employees,49%,368
$5 million-$10 million,Number of employees,50-499 employees,19%,368
More than $10 million,Number of employees,1-4 employees,4%,412
More than $10 million,Number of employees,5-9 employees,3%,412
More than $10 million,Number of employees,10-19 employees,9%,412
More than $10 million,Number of employees,20-49 employees,24%,412
More than $10 million,Number of employees,50-499 employees,61%,412
"$50,001-$100,000",Number of employees,1-4 employees,85%,539
"$50,001-$100,000",Number of employees,5-9 employees,9%,539
"$50,001-$100,000",Number of employees,10-19 employees,4%,539
"$50,001-$100,000",Number of employees,20-49 employees,1%,539
"$50,001-$100,000",Number of employees,50-499 employees,0%,539
"$100,001-$250,000",Number of employees,1-4 employees,85%,1075
"$100,001-$250,000",Number of employees,5-9 employees,12%,1075
"$100,001-$250,000",Number of employees,10-19 employees,2%,1075
"$100,001-$250,000",Number of employees,20-49 employees,0%,1075
"$100,001-$250,000",Number of employees,50-499 employees,1%,1075
"$250,001-$500,000",Number of employees,1-4 employees,70%,1249
"$250,001-$500,000",Number of employees,5-9 employees,19%,1249
"$250,001-$500,000",Number of employees,10-19 employees,9%,1249
"$250,001-$500,000",Number of employees,20-49 employees,1%,1249
"$250,001-$500,000",Number of employees,50-499 employees,0%,1249
"$500,001-$1 million",Number of employees,1-4 employees,51%,1342
"$500,001-$1 million",Number of employees,5-9 employees,28%,1342
"$500,001-$1 million",Number of employees,10-19 employees,17%,1342
"$500,001-$1 million",Number of employees,20-49 employees,4%,1342
"$500,001-$1 million",Number of employees,50-499 employees,0%,1342
$1 million-$5 million,Number of employees,1-4 employees,25%,1867
$1 million-$5 million,Number of employees,5-9 employees,24%,1867
$1 million-$5 million,Number of employees,10-19 employees,25%,1867
$1 million-$5 million,Number of employees,20-49 employees,21%,1867
$1 million-$5 million,Number of employees,50-499 employees,5%,1867
"$25,001-$50,000","Number of times relocated, past 5 years","None, did not relocate",74%,212
"$25,001-$50,000","Number of times relocated, past 5 years",Once,16%,212
"$25,001-$50,000","Number of times relocated, past 5 years",Two or more times,9%,212
"$0-$25,000","Number of times relocated, past 5 years","None, did not relocate",77%,271
"$0-$25,000","Number of times relocated, past 5 years",Once,20%,271
"$0-$25,000","Number of times relocated, past 5 years",Two or more times,3%,271
$5 million-$10 million,"Number of times relocated, past 5 years","None, did not relocate",70%,297
$5 million-$10 million,"Number of times relocated, past 5 years",Once,25%,297
$5 million-$10 million,"Number of times relocated, past 5 years",Two or more times,5%,297
More than $10 million,"Number of times relocated, past 5 years","None, did not relocate",72%,336
More than $10 million,"Number of times relocated, past 5 years",Once,22%,336
More than $10 million,"Number of times relocated, past 5 years",Two or more times,6%,336
"$50,001-$100,000","Number of times relocated, past 5 years","None, did not relocate",71%,415
"$50,001-$100,000","Number of times relocated, past 5 years",Once,22%,415
"$50,001-$100,000","Number of times relocated, past 5 years",Two or more times,7%,415
"$100,001-$250,000","Number of times relocated, past 5 years","None, did not relocate",72%,866
"$100,001-$250,000","Number of times relocated, past 5 years",Once,20%,866
"$100,001-$250,000","Number of times relocated, past 5 years",Two or more times,8%,866
"$250,001-$500,000","Number of times relocated, past 5 years","None, did not relocate",75%,1030
"$250,001-$500,000","Number of times relocated, past 5 years",Once,20%,1030
"$250,001-$500,000","Number of times relocated, past 5 years",Two or more times,5%,1030
"$500,001-$1 million","Number of times relocated, past 5 years","None, did not relocate",79%,1096
"$500,001-$1 million","Number of times relocated, past 5 years",Once,17%,1096
"$500,001-$1 million","Number of times relocated, past 5 years",Two or more times,4%,1096
$1 million-$5 million,"Number of times relocated, past 5 years","None, did not relocate",75%,1566
$1 million-$5 million,"Number of times relocated, past 5 years",Once,21%,1566
$1 million-$5 million,"Number of times relocated, past 5 years",Two or more times,4%,1566
"$25,001-$50,000",Operational challenges,Reaching customers/growing sales,62%,277
"$25,001-$50,000",Operational challenges,Utilizing technology,45%,277
"$25,001-$50,000",Operational challenges,Hiring or retaining qualified staff,40%,277
"$25,001-$50,000",Operational challenges,Supply chain issues,25%,277
"$25,001-$50,000",Operational challenges,Complying with government regulations,18%,277
"$25,001-$50,000",Operational challenges,Did not experience any operational challenges,13%,277
"$25,001-$50,000",Operational challenges,Ensuring health/ safety of customers or employees,6%,277
"$25,001-$50,000",Operational challenges,Other,2%,277
"$0-$25,000",Operational challenges,Reaching customers/growing sales,67%,351
"$0-$25,000",Operational challenges,Utilizing technology,33%,351
"$0-$25,000",Operational challenges,Hiring or retaining qualified staff,32%,351
"$0-$25,000",Operational challenges,Complying with government regulations,22%,351
"$0-$25,000",Operational challenges,Supply chain issues,15%,351
"$0-$25,000",Operational challenges,Did not experience any operational challenges,11%,351
"$0-$25,000",Operational challenges,Ensuring health/ safety of customers or employees,7%,351
"$0-$25,000",Operational challenges,Other,3%,351
$5 million-$10 million,Operational challenges,Hiring or retaining qualified staff,63%,364
$5 million-$10 million,Operational challenges,Reaching customers/growing sales,46%,364
$5 million-$10 million,Operational challenges,Complying with government regulations,45%,364
$5 million-$10 million,Operational challenges,Supply chain issues,44%,364
$5 million-$10 million,Operational challenges,Utilizing technology,21%,364
$5 million-$10 million,Operational challenges,Ensuring health/ safety of customers or employees,8%,364
$5 million-$10 million,Operational challenges,Did not experience any operational challenges,5%,364
$5 million-$10 million,Operational challenges,Other,1%,364
More than $10 million,Operational challenges,Hiring or retaining qualified staff,71%,407
More than $10 million,Operational challenges,Supply chain issues,49%,407
More than $10 million,Operational challenges,Reaching customers/growing sales,47%,407
More than $10 million,Operational challenges,Complying with government regulations,45%,407
More than $10 million,Operational challenges,Utilizing technology,25%,407
More than $10 million,Operational challenges,Ensuring health/ safety of customers or employees,12%,407
More than $10 million,Operational challenges,Did not experience any operational challenges,6%,407
More than $10 million,Operational challenges,Other,2%,407
"$50,001-$100,000",Operational challenges,Reaching customers/growing sales,61%,527
"$50,001-$100,000",Operational challenges,Hiring or retaining qualified staff,46%,527
"$50,001-$100,000",Operational challenges,Utilizing technology,30%,527
"$50,001-$100,000",Operational challenges,Supply chain issues,20%,527
"$50,001-$100,000",Operational challenges,Complying with government regulations,17%,527
"$50,001-$100,000",Operational challenges,Did not experience any operational challenges,11%,527
"$50,001-$100,000",Operational challenges,Ensuring health/ safety of customers or employees,6%,527
"$50,001-$100,000",Operational challenges,Other,1%,527
"$100,001-$250,000",Operational challenges,Reaching customers/growing sales,60%,1058
"$100,001-$250,000",Operational challenges,Hiring or retaining qualified staff,42%,1058
"$100,001-$250,000",Operational challenges,Utilizing technology,34%,1058
"$100,001-$250,000",Operational challenges,Complying with government regulations,29%,1058
"$100,001-$250,000",Operational challenges,Supply chain issues,23%,1058
"$100,001-$250,000",Operational challenges,Did not experience any operational challenges,9%,1058
"$100,001-$250,000",Operational challenges,Ensuring health/ safety of customers or employees,8%,1058
"$100,001-$250,000",Operational challenges,Other,2%,1058
"$250,001-$500,000",Operational challenges,Reaching customers/growing sales,55%,1241
"$250,001-$500,000",Operational challenges,Hiring or retaining qualified staff,52%,1241
"$250,001-$500,000",Operational challenges,Supply chain issues,28%,1241
"$250,001-$500,000",Operational challenges,Utilizing technology,28%,1241
"$250,001-$500,000",Operational challenges,Complying with government regulations,23%,1241
"$250,001-$500,000",Operational challenges,Did not experience any operational challenges,11%,1241
"$250,001-$500,000",Operational challenges,Ensuring health/ safety of customers or employees,5%,1241
"$250,001-$500,000",Operational challenges,Other,2%,1241
"$500,001-$1 million",Operational challenges,Reaching customers/growing sales,54%,1316
"$500,001-$1 million",Operational challenges,Hiring or retaining qualified staff,52%,1316
"$500,001-$1 million",Operational challenges,Supply chain issues,31%,1316
"$500,001-$1 million",Operational challenges,Complying with government regulations,28%,1316
"$500,001-$1 million",Operational challenges,Utilizing technology,27%,1316
"$500,001-$1 million",Operational challenges,Did not experience any operational challenges,9%,1316
"$500,001-$1 million",Operational challenges,Ensuring health/ safety of customers or employees,7%,1316
"$500,001-$1 million",Operational challenges,Other,1%,1316
$1 million-$5 million,Operational challenges,Hiring or retaining qualified staff,58%,1854
$1 million-$5 million,Operational challenges,Reaching customers/growing sales,56%,1854
$1 million-$5 million,Operational challenges,Supply chain issues,35%,1854
$1 million-$5 million,Operational challenges,Complying with government regulations,34%,1854
$1 million-$5 million,Operational challenges,Utilizing technology,26%,1854
$1 million-$5 million,Operational challenges,Ensuring health/ safety of customers or employees,8%,1854
$1 million-$5 million,Operational challenges,Did not experience any operational challenges,7%,1854
$1 million-$5 million,Operational challenges,Other,2%,1854
"$25,001-$50,000",Other types of funding received,Funds from owner,25%,270
"$25,001-$50,000",Other types of funding received,Grant,14%,270
"$25,001-$50,000",Other types of funding received,Loan from family or friends,11%,270
"$25,001-$50,000",Other types of funding received,Equity investment (including friends/family),1%,270
"$25,001-$50,000",Other types of funding received,Fundraising or donations,0%,270
"$25,001-$50,000",Other types of funding received,Other,0%,270
"$0-$25,000",Other types of funding received,Funds from owner,32%,349
"$0-$25,000",Other types of funding received,Equity investment (including friends/family),13%,349
"$0-$25,000",Other types of funding received,Loan from family or friends,11%,349
"$0-$25,000",Other types of funding received,Grant,6%,349
"$0-$25,000",Other types of funding received,Fundraising or donations,1%,349
"$0-$25,000",Other types of funding received,Other,0%,349
$5 million-$10 million,Other types of funding received,Funds from owner,18%,359
$5 million-$10 million,Other types of funding received,Loan from family or friends,4%,359
$5 million-$10 million,Other types of funding received,Equity investment (including friends/family),3%,359
$5 million-$10 million,Other types of funding received,Grant,2%,359
$5 million-$10 million,Other types of funding received,Fundraising or donations,0%,359
$5 million-$10 million,Other types of funding received,Other,0%,359
More than $10 million,Other types of funding received,Funds from owner,12%,401
More than $10 million,Other types of funding received,Equity investment (including friends/family),6%,401
More than $10 million,Other types of funding received,Grant,3%,401
More than $10 million,Other types of funding received,Loan from family or friends,2%,401
More than $10 million,Other types of funding received,Fundraising or donations,2%,401
More than $10 million,Other types of funding received,Other,0%,401
"$50,001-$100,000",Other types of funding received,Funds from owner,26%,505
"$50,001-$100,000",Other types of funding received,Loan from family or friends,14%,505
"$50,001-$100,000",Other types of funding received,Grant,7%,505
"$50,001-$100,000",Other types of funding received,Fundraising or donations,2%,505
"$50,001-$100,000",Other types of funding received,Equity investment (including friends/family),2%,505
"$50,001-$100,000",Other types of funding received,Other,0%,505
"$100,001-$250,000",Other types of funding received,Funds from owner,25%,1040
"$100,001-$250,000",Other types of funding received,Loan from family or friends,11%,1040
"$100,001-$250,000",Other types of funding received,Grant,4%,1040
"$100,001-$250,000",Other types of funding received,Equity investment (including friends/family),1%,1040
"$100,001-$250,000",Other types of funding received,Fundraising or donations,1%,1040
"$100,001-$250,000",Other types of funding received,Other,0%,1040
"$250,001-$500,000",Other types of funding received,Funds from owner,24%,1221
"$250,001-$500,000",Other types of funding received,Loan from family or friends,7%,1221
"$250,001-$500,000",Other types of funding received,Grant,4%,1221
"$250,001-$500,000",Other types of funding received,Equity investment (including friends/family),2%,1221
"$250,001-$500,000",Other types of funding received,Fundraising or donations,1%,1221
"$250,001-$500,000",Other types of funding received,Other,0%,1221
"$500,001-$1 million",Other types of funding received,Funds from owner,23%,1307
"$500,001-$1 million",Other types of funding received,Loan from family or friends,9%,1307
"$500,001-$1 million",Other types of funding received,Grant,3%,1307
"$500,001-$1 million",Other types of funding received,Fundraising or donations,1%,1307
"$500,001-$1 million",Other types of funding received,Equity investment (including friends/family),1%,1307
"$500,001-$1 million",Other types of funding received,Other,0%,1307
$1 million-$5 million,Other types of funding received,Funds from owner,23%,1831
$1 million-$5 million,Other types of funding received,Loan from family or friends,6%,1831
$1 million-$5 million,Other types of funding received,Grant,4%,1831
$1 million-$5 million,Other types of funding received,Equity investment (including friends/family),2%,1831
$1 million-$5 million,Other types of funding received,Other,0%,1831
$1 million-$5 million,Other types of funding received,Fundraising or donations,0%,1831
"$25,001-$50,000",Other types of funding sought and received,Did not seek other type of funding,42%,270
"$25,001-$50,000",Other types of funding sought and received,Received other type of funding,41%,270
"$25,001-$50,000",Other types of funding sought and received,"Sought other type of funding, but did not receive",17%,270
"$0-$25,000",Other types of funding sought and received,Received other type of funding,48%,349
"$0-$25,000",Other types of funding sought and received,Did not seek other type of funding,31%,349
"$0-$25,000",Other types of funding sought and received,"Sought other type of funding, but did not receive",21%,349
$5 million-$10 million,Other types of funding sought and received,Did not seek other type of funding,71%,359
$5 million-$10 million,Other types of funding sought and received,Received other type of funding,25%,359
$5 million-$10 million,Other types of funding sought and received,"Sought other type of funding, but did not receive",5%,359
More than $10 million,Other types of funding sought and received,Did not seek other type of funding,79%,401
More than $10 million,Other types of funding sought and received,Received other type of funding,18%,401
More than $10 million,Other types of funding sought and received,"Sought other type of funding, but did not receive",3%,401
"$50,001-$100,000",Other types of funding sought and received,Did not seek other type of funding,44%,505
"$50,001-$100,000",Other types of funding sought and received,Received other type of funding,41%,505
"$50,001-$100,000",Other types of funding sought and received,"Sought other type of funding, but did not receive",16%,505
"$100,001-$250,000",Other types of funding sought and received,Did not seek other type of funding,50%,1040
"$100,001-$250,000",Other types of funding sought and received,Received other type of funding,36%,1040
"$100,001-$250,000",Other types of funding sought and received,"Sought other type of funding, but did not receive",14%,1040
"$250,001-$500,000",Other types of funding sought and received,Did not seek other type of funding,56%,1221
"$250,001-$500,000",Other types of funding sought and received,Received other type of funding,33%,1221
"$250,001-$500,000",Other types of funding sought and received,"Sought other type of funding, but did not receive",11%,1221
"$500,001-$1 million",Other types of funding sought and received,Did not seek other type of funding,61%,1307
"$500,001-$1 million",Other types of funding sought and received,Received other type of funding,32%,1307
"$500,001-$1 million",Other types of funding sought and received,"Sought other type of funding, but did not receive",7%,1307
$1 million-$5 million,Other types of funding sought and received,Did not seek other type of funding,66%,1831
$1 million-$5 million,Other types of funding sought and received,Received other type of funding,28%,1831
$1 million-$5 million,Other types of funding sought and received,"Sought other type of funding, but did not receive",6%,1831
"$25,001-$50,000",Physical space of business headquarters,Facility rented by the business,51%,209
"$25,001-$50,000",Physical space of business headquarters,"A residence (e.g., home, apartment)",29%,209
"$25,001-$50,000",Physical space of business headquarters,Facility owned by the business,11%,209
"$25,001-$50,000",Physical space of business headquarters,A mobile location (vehicle-based or on-location services),5%,209
"$25,001-$50,000",Physical space of business headquarters,"Rent-free space provided by the owner, a nonprofit, or other firm",3%,209
"$25,001-$50,000",Physical space of business headquarters,Other,0%,209
"$25,001-$50,000",Physical space of business headquarters,"A virtual location (online, cloud-based)",0%,209
"$0-$25,000",Physical space of business headquarters,"A residence (e.g., home, apartment)",43%,268
"$0-$25,000",Physical space of business headquarters,Facility rented by the business,33%,268
"$0-$25,000",Physical space of business headquarters,"A virtual location (online, cloud-based)",10%,268
"$0-$25,000",Physical space of business headquarters,Facility owned by the business,7%,268
"$0-$25,000",Physical space of business headquarters,A mobile location (vehicle-based or on-location services),5%,268
"$0-$25,000",Physical space of business headquarters,"Rent-free space provided by the owner, a nonprofit, or other firm",3%,268
"$0-$25,000",Physical space of business headquarters,Other,0%,268
$5 million-$10 million,Physical space of business headquarters,Facility rented by the business,64%,296
$5 million-$10 million,Physical space of business headquarters,Facility owned by the business,30%,296
$5 million-$10 million,Physical space of business headquarters,"A residence (e.g., home, apartment)",5%,296
$5 million-$10 million,Physical space of business headquarters,"A virtual location (online, cloud-based)",1%,296
$5 million-$10 million,Physical space of business headquarters,"Rent-free space provided by the owner, a nonprofit, or other firm",1%,296
$5 million-$10 million,Physical space of business headquarters,Other,0%,296
$5 million-$10 million,Physical space of business headquarters,A mobile location (vehicle-based or on-location services),0%,296
More than $10 million,Physical space of business headquarters,Facility rented by the business,60%,336
More than $10 million,Physical space of business headquarters,Facility owned by the business,36%,336
More than $10 million,Physical space of business headquarters,"A residence (e.g., home, apartment)",2%,336
More than $10 million,Physical space of business headquarters,"A virtual location (online, cloud-based)",1%,336
More than $10 million,Physical space of business headquarters,"Rent-free space provided by the owner, a nonprofit, or other firm",1%,336
More than $10 million,Physical space of business headquarters,A mobile location (vehicle-based or on-location services),0%,336
More than $10 million,Physical space of business headquarters,Other,0%,336
"$50,001-$100,000",Physical space of business headquarters,Facility rented by the business,50%,412
